64,120,176,232,288,344,400,456,512,584,656,728,800,872,944,1016,
1088,1160,1232,1304,1376,1448,1520,1592,1664,1736,1808,1880,1952,2024,2096,2168,
2240,2312,2384,2456,2528,2600,2672,2744,2816,2888,2960,3032,3104,3176,3248,3320,
3392,3464,3536,3608,3680,3752,3824,3896,3968,4032,4096,4160,4224,4288,4352,4416,
4480,4544,4608,4672,4736,4800,4864,4928,4992,5048,5104,5160,5216,5272,5328,5384,
5440,5504,5568,5632,5696,5760,5824,5888,5952,6008,6064,6120,6176,6232,6288,6344,
6400,6448,6496,6544,6592,6640,6688,6736,6784,6832,6880,6928,6976,7024,7072,7120,
7168,7216,7264,7312,7360,7408,7456,7504,7552,7600,7648,7696,7744,7792,7840,7888,
7936,7976,8016,8056,8096,8136,8176,8216,8256,8296,8336,8376,8416,8456,8496,8536,
8576,8608,8640,8672,8704,8736,8768,8800,8832,8872,8912,8952,8992,9032,9072,9112,
9152,9184,9216,9248,9280,9312,9344,9376,9408,9432,9456,9480,9504,9528,9552,9576,
9600,9632,9664,9696,9728,9760,9792,9824,9856,9880,9904,9928,9952,9976,10000,10024,
10048,10072,10096,10120,10144,10168,10192,10216,10240,10264,10288,10312,10336,10360,10384,10408,
10432,10456,10480,10504,10528,10552,10576,10600,10624,10648,10672,10696,10720,10744,10768,10792,
10816,10840,10864,10888,10912,10936,10960,10984,11008,11032,11056,11080,11104,11128,11152,11176,
11200,11224,11248,11272,11296,11320,11344,11368,11392,11416,11440,11464,11488,11512,11536,11560,
11584,11600,11616,11632,11648,11664,11680,11696,11712,11736,11760,11784,11808,11832,11856,11880,
11904,11920,11936,11952,11968,11984,12000,12016,12032,12056,12080,12104,12128,12152,12176,12200,
12224,12240,12256,12272,12288,12304,12320,12336,12352,12376,12400,12424,12448,12472,12496,12520,
12544,12560,12576,12592,12608,12624,12640,12656,12672,12696,12720,12744,12768,12792,12816,12840,
12864,12880,12896,12912,12928,12944,12960,12976,12992,13016,13040,13064,13088,13112,13136,13160,
13184,13200,13216,13232,13248,13264,13280,13296,13312,13328,13344,13360,13376,13392,13408,13424,
13440,13464,13488,13512,13536,13560,13584,13608,13632,13648,13664,13680,13696,13712,13728,13744,
13760,13776,13792,13808,13824,13840,13856,13872,13888,13904,13920,13936,13952,13968,13984,14000,
14016,14040,14064,14088,14112,14136,14160,14184,14208,14224,14240,14256,14272,14288,14304,14320,
14336,14352,14368,14384,14400,14416,14432,14448,14464,14488,14512,14536,14560,14584,14608,14632,
14656,14672,14688,14704,14720,14736,14752,14768,14784,14800,14816,14832,14848,14864,14880,14896,
14912,14928,14944,14960,14976,14992,15008,15024,15040,15064,15088,15112,15136,15160,15184,15208,
15232,15248,15264,15280,15296,15312,15328,15344,15360,15376,15392,15408,15424,15440,15456,15472,
15488,15504,15520,15536,15552,15568,15584,15600,15616,15640,15664,15688,15712,15736,15760,15784,
15808,15824,15840,15856,15872,15888,15904,15920,15936,15952,15968,15984,16000,16016,16032,16048,
16064,16088,16112,16136,16160,16184,16208,16232,16256,16272,16288,16304,16320,16336,16352,16368|
64,152,240,328,416,504,592,680,768,864,960,1056,1152,1248,1344,1440,
1536,1632,1728,1824,1920,2016,2112,2208,2304,2408,2512,2616,2720,2824,2928,3032,
3136,3240,3344,3448,3552,3656,3760,3864,3968,4064,4160,4256,4352,4448,4544,4640,
4736,4832,4928,5024,5120,5216,5312,5408,5504,5592,5680,5768,5856,5944,6032,6120,
6208,6296,6384,6472,6560,6648,6736,6824,6912,7000,7088,7176,7264,7352,7440,7528,
7616,7696,7776,7856,7936,8016,8096,8176,8256,8328,8400,8472,8544,8616,8688,8760,
8832,8904,8976,9048,9120,9192,9264,9336,9408,9472,9536,9600,9664,9728,9792,9856,
9920,9984,10048,10112,10176,10240,10304,10368,10432,10488,10544,10600,10656,10712,10768,10824,
10880,10936,10992,11048,11104,11160,11216,11272,11328,11376,11424,11472,11520,11568,11616,11664,
11712,11752,11792,11832,11872,11912,11952,11992,12032,12072,12112,12152,12192,12232,12272,12312,
12352,12384,12416,12448,12480,12512,12544,12576,12608,12640,12672,12704,12736,12768,12800,12832,
12864,12888,12912,12936,12960,12984,13008,13032,13056,13080,13104,13128,13152,13176,13200,13224,
13248,13272,13296,13320,13344,13368,13392,13416,13440,13464,13488,13512,13536,13560,13584,13608,
13632,13648,13664,13680,13696,13712,13728,13744,13760,13776,13792,13808,13824,13840,13856,13872,
13888,13904,13920,13936,13952,13968,13984,14000,14016,14032,14048,14064,14080,14096,14112,14128,
14144,14160,14176,14192,14208,14224,14240,14256,14272,14280,14288,14296,14304,14312,14320,14328,
14336,14352,14368,14384,14400,14416,14432,14448,14464,14472,14480,14488,14496,14504,14512,14520,
14528,14544,14560,14576,14592,14608,14624,14640,14656,14664,14672,14680,14688,14696,14704,14712,
14720,14736,14752,14768,14784,14800,14816,14832,14848,14856,14864,14872,14880,14888,14896,14904,
14912,14920,14928,14936,14944,14952,14960,14968,14976,14984,14992,15000,15008,15016,15024,15032,
15040,15048,15056,15064,15072,15080,15088,15096,15104,15112,15120,15128,15136,15144,15152,15160,
15168,15176,15184,15192,15200,15208,15216,15224,15232,15240,15248,15256,15264,15272,15280,15288,
15296,15304,15312,15320,15328,15336,15344,15352,15360,15368,15376,15384,15392,15400,15408,15416,
15424,15432,15440,15448,15456,15464,15472,15480,15488,15496,15504,15512,15520,15528,15536,15544,
15552,15560,15568,15576,15584,15592,15600,15608,15616,15616,15616,15616,15616,15616,15616,15616,
15616,15624,15632,15640,15648,15656,15664,15672,15680,15688,15696,15704,15712,15720,15728,15736,
15744,15752,15760,15768,15776,15784,15792,15800,15808,15808,15808,15808,15808,15808,15808,15808,
15808,15816,15824,15832,15840,15848,15856,15864,15872,15880,15888,15896,15904,15912,15920,15928,
15936,15944,15952,15960,15968,15976,15984,15992,16000,16000,16000,16000,16000,16000,16000,16000,
16000,16008,16016,16024,16032,16040,16048,16056,16064,16072,16080,16088,16096,16104,16112,16120,
16128,16136,16144,16152,16160,16168,16176,16184,16192,16200,16208,16216,16224,16232,16240,16248,
16256,16264,16272,16280,16288,16296,16304,16312,16320,16328,16336,16344,16352,16360,16368,16376|
64,208,352,496,640,784,928,1072,1216,1400,1584,1768,1952,2136,2320,2504,
2688,2832,2976,3120,3264,3408,3552,3696,3840,3952,4064,4176,4288,4400,4512,4624,
4736,4832,4928,5024,5120,5216,5312,5408,5504,5576,5648,5720,5792,5864,5936,6008,
6080,6144,6208,6272,6336,6400,6464,6528,6592,6648,6704,6760,6816,6872,6928,6984,
7040,7088,7136,7184,7232,7280,7328,7376,7424,7464,7504,7544,7584,7624,7664,7704,
7744,7784,7824,7864,7904,7944,7984,8024,8064,8104,8144,8184,8224,8264,8304,8344,
8384,8416,8448,8480,8512,8544,8576,8608,8640,8664,8688,8712,8736,8760,8784,8808,
8832,8864,8896,8928,8960,8992,9024,9056,9088,9112,9136,9160,9184,9208,9232,9256,
9280,9304,9328,9352,9376,9400,9424,9448,9472,9496,9520,9544,9568,9592,9616,9640,
9664,9688,9712,9736,9760,9784,9808,9832,9856,9880,9904,9928,9952,9976,10000,10024,
10048,10064,10080,10096,10112,10128,10144,10160,10176,10200,10224,10248,10272,10296,10320,10344,
10368,10392,10416,10440,10464,10488,10512,10536,10560,10576,10592,10608,10624,10640,10656,10672,
10688,10712,10736,10760,10784,10808,10832,10856,10880,10896,10912,10928,10944,10960,10976,10992,
11008,11032,11056,11080,11104,11128,11152,11176,11200,11216,11232,11248,11264,11280,11296,11312,
11328,11352,11376,11400,11424,11448,11472,11496,11520,11536,11552,11568,11584,11600,11616,11632,
11648,11664,11680,11696,11712,11728,11744,11760,11776,11800,11824,11848,11872,11896,11920,11944,
11968,11984,12000,12016,12032,12048,12064,12080,12096,12112,12128,12144,12160,12176,12192,12208,
12224,12240,12256,12272,12288,12304,12320,12336,12352,12376,12400,12424,12448,12472,12496,12520,
12544,12560,12576,12592,12608,12624,12640,12656,12672,12688,12704,12720,12736,12752,12768,12784,
12800,12816,12832,12848,12864,12880,12896,12912,12928,12952,12976,13000,13024,13048,13072,13096,
13120,13136,13152,13168,13184,13200,13216,13232,13248,13264,13280,13296,13312,13328,13344,13360,
13376,13392,13408,13424,13440,13456,13472,13488,13504,13520,13536,13552,13568,13584,13600,13616,
13632,13648,13664,13680,13696,13712,13728,13744,13760,13784,13808,13832,13856,13880,13904,13928,
13952,13968,13984,14000,14016,14032,14048,14064,14080,14096,14112,14128,14144,14160,14176,14192,
14208,14224,14240,14256,14272,14288,14304,14320,14336,14352,14368,14384,14400,14416,14432,14448,
14464,14480,14496,14512,14528,14544,14560,14576,14592,14608,14624,14640,14656,14672,14688,14704,
14720,14736,14752,14768,14784,14800,14816,14832,14848,14864,14880,14896,14912,14928,14944,14960,
14976,14992,15008,15024,15040,15056,15072,15088,15104,15128,15152,15176,15200,15224,15248,15272,
15296,15312,15328,15344,15360,15376,15392,15408,15424,15440,15456,15472,15488,15504,15520,15536,
